#feature                                                         ;occurence
CONFIG_COREDUMP                                                 ;61
CONFIG_COMPAT_32                                                ;77
CONFIG_HAVE_ATOMIC_IOMAP                                        ;48
CONFIG_DEVTMPFS                                                 ;50
CONFIG_DEVTMPFS_MOUNT                                           ;31
CONFIG_STANDALONE                                               ;47
CONFIG_FW_LOADER                                                ;100
CONFIG_FIRMWARE_IN_KERNEL                                       ;45
CONFIG_EXTRA_FIRMWARE                                           ;100
CONFIG_FW_LOADER_USER_HELPER                                    ;100
CONFIG_ALLOW_DEV_COREDUMP                                       ;54
CONFIG_DEBUG_DRIVER                                             ;44
CONFIG_DEBUG_DEVRES                                             ;48
CONFIG_GENERIC_CPU_AUTOPROBE                                    ;100
CONFIG_REGMAP                                                   ;100
CONFIG_REGMAP_I2C                                               ;98
CONFIG_REGMAP_MMIO                                              ;99
CONFIG_REGMAP_IRQ                                               ;99
CONFIG_DMA_SHARED_BUFFER                                        ;92
CONFIG_DMA_FENCE_TRACE                                          ;43
CONFIG_SIMPLE_PM_BUS                                            ;26
CONFIG_OF                                                       ;57
CONFIG_OF_DYNAMIC                                               ;36
CONFIG_OF_ADDRESS                                               ;57
CONFIG_OF_IRQ                                                   ;57
CONFIG_OF_RESOLVE                                               ;40
CONFIG_OF_OVERLAY                                               ;26
CONFIG_ARCH_MIGHT_HAVE_PC_PARPORT                               ;100
CONFIG_NVME_CORE                                                ;52
CONFIG_NVME_FABRICS                                             ;49
CONFIG_NVME_TARGET                                              ;40
CONFIG_NVME_TARGET_LOOP                                         ;27
CONFIG_NVME_TARGET_FC                                           ;31
CONFIG_SENSORS_LIS3LV02D                                        ;66
CONFIG_AD525X_DPOT                                              ;59
CONFIG_DUMMY_IRQ                                                ;67
CONFIG_ICS932S401                                               ;68
CONFIG_APDS9802ALS                                              ;67
CONFIG_ISL29003                                                 ;67
CONFIG_ISL29020                                                 ;64
CONFIG_SENSORS_TSL2550                                          ;63
CONFIG_SENSORS_BH1770                                           ;64
CONFIG_SENSORS_APDS990X                                         ;79
CONFIG_USB_SWITCH_FSA9480                                       ;72
CONFIG_SRAM                                                     ;50
CONFIG_EEPROM_LEGACY                                            ;70
CONFIG_EEPROM_93CX6                                             ;72
CONFIG_EEPROM_IDT_89HPESX                                       ;60
CONFIG_SENSORS_LIS3_I2C                                         ;53
CONFIG_ALTERA_STAPL                                             ;62
CONFIG_ECHO                                                     ;63
CONFIG_HAVE_IDE                                                 ;100
CONFIG_IDE                                                      ;43
CONFIG_IDE_XFER_MODE                                            ;40
CONFIG_IDE_TIMINGS                                              ;40
CONFIG_IDE_ATAPI                                                ;42
CONFIG_IDE_GD                                                   ;27
CONFIG_IDE_GD_ATA                                               ;13
CONFIG_IDE_GD_ATAPI                                             ;12
CONFIG_BLK_DEV_IDECD                                            ;34
CONFIG_BLK_DEV_IDECD_VERBOSE_ERRORS                             ;19
CONFIG_BLK_DEV_IDETAPE                                          ;29
CONFIG_IDE_GENERIC                                              ;30
CONFIG_BLK_DEV_CMD640                                           ;32
CONFIG_BLK_DEV_CMD640_ENHANCED                                  ;22
CONFIG_SCSI_MOD                                                 ;100
CONFIG_RAID_ATTRS                                               ;46
CONFIG_MD                                                       ;30
CONFIG_BLK_DEV_MD                                               ;28
CONFIG_MD_LINEAR                                                ;16
CONFIG_MD_RAID0                                                 ;24
CONFIG_MD_RAID10                                                ;22
CONFIG_MD_RAID456                                               ;21
CONFIG_MD_MULTIPATH                                             ;19
CONFIG_MD_FAULTY                                                ;21
CONFIG_BCACHE                                                   ;19
CONFIG_BCACHE_DEBUG                                             ;9
CONFIG_BCACHE_CLOSURES_DEBUG                                    ;7
CONFIG_MACINTOSH_DRIVERS                                        ;50
CONFIG_NVM                                                      ;25
CONFIG_NVM_RRPC                                                 ;15
CONFIG_INPUT                                                    ;89
CONFIG_INPUT_LEDS                                               ;52
CONFIG_INPUT_FF_MEMLESS                                         ;87
CONFIG_INPUT_POLLDEV                                            ;89
CONFIG_INPUT_SPARSEKMAP                                         ;71
CONFIG_INPUT_MATRIXKMAP                                         ;75
CONFIG_INPUT_EVDEV                                              ;50
CONFIG_INPUT_EVBUG                                              ;59
CONFIG_INPUT_KEYBOARD                                           ;52
CONFIG_KEYBOARD_ADP5520                                         ;13
CONFIG_KEYBOARD_ADP5588                                         ;34
CONFIG_KEYBOARD_ADP5589                                         ;33
CONFIG_KEYBOARD_ATKBD                                           ;33
CONFIG_KEYBOARD_QT1070                                          ;36
CONFIG_KEYBOARD_QT2160                                          ;30
CONFIG_KEYBOARD_DLINK_DIR685                                    ;35
CONFIG_KEYBOARD_LKKBD                                           ;35
CONFIG_KEYBOARD_GPIO                                            ;33
CONFIG_KEYBOARD_GPIO_POLLED                                     ;35
CONFIG_KEYBOARD_TCA6416                                         ;32
CONFIG_KEYBOARD_TCA8418                                         ;28
CONFIG_KEYBOARD_MATRIX                                          ;31
CONFIG_KEYBOARD_LM8323                                          ;39
CONFIG_KEYBOARD_LM8333                                          ;32
CONFIG_KEYBOARD_MAX7359                                         ;36
CONFIG_KEYBOARD_MPR121                                          ;40
CONFIG_KEYBOARD_STOWAWAY                                        ;34
CONFIG_KEYBOARD_SUNKBD                                          ;37
CONFIG_KEYBOARD_OMAP4                                           ;23
CONFIG_KEYBOARD_TM2_TOUCHKEY                                    ;29
CONFIG_KEYBOARD_CROS_EC                                         ;23
CONFIG_KEYBOARD_CAP11XX                                         ;22
CONFIG_INPUT_JOYSTICK                                           ;42
CONFIG_JOYSTICK_A3D                                             ;26
CONFIG_JOYSTICK_ADI                                             ;28
CONFIG_JOYSTICK_COBRA                                           ;28
CONFIG_JOYSTICK_GRIP                                            ;32
CONFIG_JOYSTICK_GRIP_MP                                         ;28
CONFIG_JOYSTICK_INTERACT                                        ;23
CONFIG_JOYSTICK_SIDEWINDER                                      ;34
CONFIG_JOYSTICK_TMDC                                            ;29
CONFIG_JOYSTICK_WARRIOR                                         ;30
CONFIG_JOYSTICK_SPACEBALL                                       ;31
CONFIG_JOYSTICK_TWIDJOY                                         ;28
CONFIG_JOYSTICK_ZHENHUA                                         ;28
CONFIG_JOYSTICK_AS5011                                          ;28
CONFIG_JOYSTICK_JOYDUMP                                         ;33
CONFIG_RMI4_CORE                                                ;82
CONFIG_RMI4_F03                                                 ;69
CONFIG_RMI4_F03_SERIO                                           ;69
CONFIG_RMI4_2D_SENSOR                                           ;79
CONFIG_RMI4_F11                                                 ;71
CONFIG_RMI4_F12                                                 ;72
CONFIG_RMI4_F30                                                 ;68
CONFIG_RMI4_F34                                                 ;33
CONFIG_RMI4_F54                                                 ;19
CONFIG_RMI4_F55                                                 ;48
CONFIG_SERIO                                                    ;98
CONFIG_ARCH_MIGHT_HAVE_PC_SERIO                                 ;100
CONFIG_SERIO_I8042                                              ;84
CONFIG_SERIO_SERPORT                                            ;53
CONFIG_SERIO_CT82C710                                           ;68
CONFIG_SERIO_LIBPS2                                             ;83
CONFIG_SERIO_ALTERA_PS2                                         ;70
CONFIG_SERIO_APBPS2                                             ;40
CONFIG_GAMEPORT                                                 ;81
CONFIG_GAMEPORT_NS558                                           ;48
CONFIG_GAMEPORT_L4                                              ;50
CONFIG_TTY                                                      ;58
CONFIG_UNIX98_PTYS                                              ;41
CONFIG_TRACE_ROUTER                                             ;27
CONFIG_TRACE_SINK                                               ;34
CONFIG_DEVMEM                                                   ;48
CONFIG_SERIAL_EARLYCON                                          ;55
CONFIG_SERIAL_8250                                              ;52
CONFIG_SERIAL_8250_NR_UARTS                                     ;52
CONFIG_SERIAL_8250_RUNTIME_UARTS                                ;52
CONFIG_SERIAL_8250_EXTENDED                                     ;22
CONFIG_SERIAL_8250_DETECT_IRQ                                   ;13
CONFIG_SERIAL_8250_RSA                                          ;10
CONFIG_SERIAL_8250_RT288X                                       ;26
CONFIG_SERIAL_OF_PLATFORM                                       ;18
CONFIG_SERIAL_UARTLITE                                          ;41
CONFIG_SERIAL_UARTLITE_NR_UARTS                                 ;41
CONFIG_SERIAL_CORE                                              ;58
CONFIG_SERIAL_CORE_CONSOLE                                      ;55
CONFIG_SERIAL_SCCNXP                                            ;43
CONFIG_SERIAL_SCCNXP_CONSOLE                                    ;19
CONFIG_SERIAL_SC16IS7XX                                         ;34
CONFIG_SERIAL_TIMBERDALE                                        ;32
CONFIG_SERIAL_ALTERA_JTAGUART                                   ;34
CONFIG_SERIAL_ALTERA_JTAGUART_CONSOLE                           ;18
CONFIG_SERIAL_ALTERA_UART                                       ;31
CONFIG_SERIAL_ALTERA_UART_MAXPORTS                              ;31
CONFIG_SERIAL_ALTERA_UART_BAUDRATE                              ;31
CONFIG_SERIAL_XILINX_PS_UART                                    ;24
CONFIG_SERIAL_ARC                                               ;43
CONFIG_SERIAL_ARC_NR_PORTS                                      ;43
CONFIG_SERIAL_FSL_LPUART                                        ;39
CONFIG_SERIAL_CONEXANT_DIGICOLOR                                ;23
CONFIG_SERIAL_MEN_Z135                                          ;29
CONFIG_IPMI_HANDLER                                             ;64
CONFIG_IPMI_DMI_DECODE                                          ;39
CONFIG_IPMI_PANIC_EVENT                                         ;30
CONFIG_IPMI_PANIC_STRING                                        ;18
CONFIG_IPMI_DEVICE_INTERFACE                                    ;37
CONFIG_IPMI_SI                                                  ;61
CONFIG_IPMI_SSIF                                                ;45
CONFIG_IPMI_POWEROFF                                            ;52
