xp; xp_val; conf; conf_val
KERNEL_LZO; y; KERNEL_LZO; y
SECURITY_TOMOYO_ACTIVATION_TRIGGER; ""; ; 
SND_SOC_LITTLEMILL; y; SND_SOC_LITTLEMILL; y
SND_SOC_SAMSUNG; y; SND_SOC_SAMSUNG; y
MAY_USE_DEVLINK; y; MAY_USE_DEVLINK; y
DCB; y; DCB; y
LIBFCOE; y; LIBFCOE; y
NET_VENDOR_BROADCOM; y; NET_VENDOR_BROADCOM; y
INFINIBAND_BNXT_RE; y; INFINIBAND_BNXT_RE; y
SYSTEM_TRUSTED_KEYS; ""; ; 
NAMESPACES; y; NAMESPACES; y
GENERIC_CPU_AUTOPROBE; y; GENERIC_CPU_AUTOPROBE; y
DM_BUFIO; y; DM_BUFIO; y
GENERIC_CMOS_UPDATE; y; GENERIC_CMOS_UPDATE; y
TOUCHSCREEN_WM97XX; y; TOUCHSCREEN_WM97XX; y
PNP; y; PNP; y
MESSAGE_LOGLEVEL_DEFAULT; 1; MESSAGE_LOGLEVEL_DEFAULT; 1
OF_IRQ; y; OF_IRQ; y
OF_ADDRESS; y; OF_ADDRESS; y
MULTIPLEXER; y; MULTIPLEXER; y
SND_HDA; y; SND_HDA; y
USB_NET_DRIVERS; y; USB_NET_DRIVERS; y
USB_USBNET; y; USB_USBNET; y
CHARLCD; y; CHARLCD; y
SERIAL_SC16IS7XX; y; SERIAL_SC16IS7XX; y
SND_FIREWIRE; y; SND_FIREWIRE; y
FIREWIRE; y; FIREWIRE; y
CPU_SUP_INTEL; y; CPU_SUP_INTEL; y
IBM_EMAC_RX_SKB_HEADROOM; 0; ; 
PHYS_ADDR_T_64BIT; y; PHYS_ADDR_T_64BIT; y
ARCH_HAS_PMEM_API; y; ARCH_HAS_PMEM_API; y
NF_CONNTRACK_IPV6; y; NF_CONNTRACK_IPV6; y
SWPHY; y; SWPHY; y
FIXED_PHY; y; FIXED_PHY; y
WLAN_VENDOR_CISCO; y; WLAN_VENDOR_CISCO; y
KS7010; y; KS7010; y
ISA_DMA_API; y; ISA_DMA_API; y
PRISM54; y; PRISM54; y
AIRO; y; AIRO; y
WIRELESS_EXT; y; WIRELESS_EXT; y
R8712U; y; R8712U; y
DVB_DRX39XYJ; y; DVB_DRX39XYJ; y
IP_NF_ARPTABLES; y; IP_NF_ARPTABLES; y
SND_OPL3_LIB_SEQ; y; SND_OPL3_LIB_SEQ; y
SND_OPL3_LIB; y; SND_OPL3_LIB; y
HAVE_ARCH_MMAP_RND_BITS; y; HAVE_ARCH_MMAP_RND_BITS; y
ARCH_MMAP_RND_BITS; 0; ARCH_MMAP_RND_BITS; 28
ARCH_MMAP_RND_BITS_MIN; 1; ARCH_MMAP_RND_BITS_MIN; 28
NFT_NAT; y; NFT_NAT; y
COMEDI_ISA_DRIVERS; y; COMEDI_ISA_DRIVERS; y
AC97_BUS; y; AC97_BUS; y
SYSCTL_EXCEPTION_TRACE; y; SYSCTL_EXCEPTION_TRACE; y
SND_SOC_WM8737; y; SND_SOC_WM8737; y
HAVE_REGS_AND_STACK_ACCESS_API; y; HAVE_REGS_AND_STACK_ACCESS_API; y
ARCH_SUPPORTS_UPROBES; y; ARCH_SUPPORTS_UPROBES; y
PERF_EVENTS; y; PERF_EVENTS; y
PM_STD_PARTITION; ""; ; 
USB_SERIAL_KEYSPAN; y; USB_SERIAL_KEYSPAN; y
USB_F_SUBSET; y; USB_F_SUBSET; y
USB_CONFIGFS_ECM_SUBSET; y; USB_CONFIGFS_ECM_SUBSET; y
VIDEO_TUNER; y; VIDEO_TUNER; y
VIDEO_CX18; y; VIDEO_CX18; y
VIDEO_SAA7134; y; VIDEO_SAA7134; y
VIDEO_GO7007; y; VIDEO_GO7007; y
VIDEO_CX88; y; VIDEO_CX88; y
VIDEO_IVTV; y; VIDEO_IVTV; y
VIDEO_SAA7164; y; VIDEO_SAA7164; y
HAVE_ARCH_KASAN; y; HAVE_ARCH_KASAN; y
NOP_USB_XCEIV; y; NOP_USB_XCEIV; y
COMEDI_DEFAULT_BUF_SIZE_KB; 2048; COMEDI_DEFAULT_BUF_SIZE_KB; 2048
MEMORY_HOTPLUG; y; MEMORY_HOTPLUG; y
HAVE_KERNEL_GZIP; y; HAVE_KERNEL_GZIP; y
MULTIUSER; y; MULTIUSER; y
HAVE_KVM; y; HAVE_KVM; y
X86_LOCAL_APIC; y; X86_LOCAL_APIC; y
VIDEOBUF2_MEMOPS; y; VIDEOBUF2_MEMOPS; y
FRAME_VECTOR; y; FRAME_VECTOR; y
SND_SOC_INTEL_BYT_CHT_ES8316_MACH; y; SND_SOC_INTEL_BYT_CHT_ES8316_MACH; y
STANDALONE; y; STANDALONE; y
SERIO_SERPORT; y; SERIO_SERPORT; y
I2C_TAOS_EVM; y; I2C_TAOS_EVM; y
MEDIA_TUNER_XC2028; y; MEDIA_TUNER_XC2028; y
MEDIA_TUNER; y; MEDIA_TUNER; y
SND_SOC_CS35L34; y; SND_SOC_CS35L34; y
X86_INTERNODE_CACHE_SHIFT; 0; X86_INTERNODE_CACHE_SHIFT; 6
GENERIC_CPU; y; GENERIC_CPU; y
COMEDI_PCMCIA_DRIVERS; y; COMEDI_PCMCIA_DRIVERS; y
IRQ_DOMAIN_HIERARCHY; y; IRQ_DOMAIN_HIERARCHY; y
GENERIC_MSI_IRQ_DOMAIN; y; GENERIC_MSI_IRQ_DOMAIN; y
GENERIC_CALIBRATE_DELAY; y; GENERIC_CALIBRATE_DELAY; y
CEC_PLATFORM_DRIVERS; y; CEC_PLATFORM_DRIVERS; y
MTD_UBI; y; MTD_UBI; y
UBIFS_FS; y; UBIFS_FS; y
PARTITION_ADVANCED; y; PARTITION_ADVANCED; y
VIDEO_IR_I2C; y; VIDEO_IR_I2C; y
IMA_DEFAULT_TEMPLATE; "ima-ng"; ; 
UNISYSSPAR; y; UNISYSSPAR; y
FILE_LOCKING; y; FILE_LOCKING; y
KALLSYMS; y; KALLSYMS; y
MEDIA_TUNER_QM1D1C0042; y; MEDIA_TUNER_QM1D1C0042; y
DVB_PT3; y; DVB_PT3; y
MFD_INTEL_MSIC; y; MFD_INTEL_MSIC; y
DRM_BRIDGE; y; DRM_BRIDGE; y
BITREVERSE; y; BITREVERSE; y
BCMA_POSSIBLE; y; BCMA_POSSIBLE; y
BMP280; y; BMP280; y
HAVE_NET_DSA; y; HAVE_NET_DSA; y
MPILIB; y; MPILIB; y
ASYMMETRIC_KEY_TYPE; y; ASYMMETRIC_KEY_TYPE; y
ASYMMETRIC_PUBLIC_KEY_SUBTYPE; y; ASYMMETRIC_PUBLIC_KEY_SUBTYPE; y
CRYPTO_RSA; y; CRYPTO_RSA; y
IDE; y; IDE; y
SND_SOC_TEGRA_WM8903; y; SND_SOC_TEGRA_WM8903; y
ARCH_SPARSEMEM_ENABLE; y; ARCH_SPARSEMEM_ENABLE; y
ARCH_SELECT_MEMORY_MODEL; y; ARCH_SELECT_MEMORY_MODEL; y
VIDEO_ZORAN; y; VIDEO_ZORAN; y
MFD_CORE; y; MFD_CORE; y
GENERIC_IRQ_CHIP; y; GENERIC_IRQ_CHIP; y
IRQ_DOMAIN; y; IRQ_DOMAIN; y
REGMAP_IRQ; y; REGMAP_IRQ; y
ABX500_CORE; y; ABX500_CORE; y
GPIO_MPC8XXX; y; GPIO_MPC8XXX; y
GPIOLIB_IRQCHIP; y; GPIOLIB_IRQCHIP; y
MFD_LP8788; y; MFD_LP8788; y
SND_SB_COMMON; y; SND_SB_COMMON; y
SND_ALS4000; y; SND_ALS4000; y
UBIFS_FS_ADVANCED_COMPR; y; UBIFS_FS_ADVANCED_COMPR; y
BT_QCA; y; BT_QCA; y
SND_HDA_CODEC_CA0132; y; SND_HDA_CODEC_CA0132; y
AUDIT; y; AUDIT; y
DVB_SP8870; y; DVB_SP8870; y
SCSI_AIC94XX; y; SCSI_AIC94XX; y
RTL8188EE; y; RTL8188EE; y
