option,type
USB_DWC3_HOST,BOOL
MAX1118,TRISTATE
X86_RDC321X,BOOL
MTD_NAND_XWAY,BOOL
ATM_ENI_BURST_TX_2W,BOOL
FB_SM501,TRISTATE
SND_ASIHPI,TRISTATE
OCTEON_ETHERNET,TRISTATE
SERIAL_8250_DETECT_IRQ,BOOL
TOUCHSCREEN_MTOUCH,TRISTATE
SENSORS_ATK0110,TRISTATE
IR_MTK,TRISTATE
USB_DWC3_GADGET,BOOL
MAX1363,TRISTATE
M486,BOOL
ATM_ENI_BURST_RX_16W,BOOL
FB_SMSCUFX,TRISTATE
SND_ATIIXP,TRISTATE
RTC_SYSTOHC,BOOL
OCTEON_USB,TRISTATE
TOUCHSCREEN_IMX6UL_TSC,TRISTATE
THERMAL_EMERGENCY_POWEROFF_DELAY_MS,INT
IR_NUVOTON,TRISTATE
USB_DWC3_OMAP,TRISTATE
X86_32_NON_STANDARD,BOOL
MTD_NAND_SUNXI,TRISTATE
SERIAL_8250_RSA,BOOL
FB_UDL,TRISTATE
SND_ATIIXP_MODEM,TRISTATE
RTC_SYSTOHC_DEVICE,STRING
VT6655,TRISTATE
MAX9611,TRISTATE
PAGE_POISONING_NO_SANITY,BOOL
ATM_ENI_BURST_RX_8W,BOOL
THERMAL_HWMON,BOOL
IR_REDRAT3,TRISTATE
USB_DWC3_EXYNOS,TRISTATE
X86_SUPPORTS_MEMORY_FAILURE,BOOL
MTD_NAND_HISI504,TRISTATE
TOUCHSCREEN_INEXIO,TRISTATE
SERIAL_8250_ACORN,TRISTATE
FB_IBM_GXT4500,TRISTATE
SND_AU8810,TRISTATE
MCP320X,TRISTATE
ATM_ENI_BURST_RX_4W,BOOL
THERMAL_WRITABLE_TRIPS,BOOL
IR_SPI,TRISTATE
USB_DWC3_PCI,TRISTATE
RTC_DEBUG,BOOL
ADIS16201,TRISTATE
X86_MCE,BOOL
TOUCHSCREEN_MK712,TRISTATE
SERIAL_8250_BCM2835AUX,TRISTATE
FB_PS3,TRISTATE
SND_AU8820,TRISTATE
VT6656,TRISTATE
MCP3422,TRISTATE
ATM_ENI_BURST_RX_2W,BOOL
IR_STREAMZAP,TRISTATE
USB_DWC3_KEYSTONE,TRISTATE
RTC_NVMEM,BOOL
SPARSEMEM,BOOL
MTD_NAND_QCOM,TRISTATE
THERMAL_DEFAULT_GOV_STEP_WISE,BOOL
SND_AU8830,TRISTATE
MEDIATEK_MT6577_AUXADC,TRISTATE
HAVE_REGS_AND_STACK_ACCESS_API,BOOL
NFC_ST95HF,TRISTATE
TI_CPSW,TRISTATE
B43LEGACY_PIO_MODE,BOOL
SND_SOC_SIRF_USP,TRISTATE
OMAP_MBOX_KFIFO_SIZE,INT
GOOGLE_VPD,TRISTATE
CRYPTO_GHASH_CLMUL_NI_INTEL,TRISTATE
DEBUG_PERF_USE_VMALLOC,BOOL
DVB_TDA8083,TRISTATE
DRM_ETNAVIV,TRISTATE
PANEL_LCD_PROTO,INT
PWM_LPC18XX_SCT,TRISTATE
HAVE_RELIABLE_STACKTRACE,BOOL
LWTUNNEL_BPF,BOOL
TI_CPTS,BOOL
BRCMUTIL,TRISTATE
SND_SOC_FSL_SAI,TRISTATE
SND_SPEAR_SOC,TRISTATE
ROCKCHIP_MBOX,BOOL
EFI_ESRT,BOOL
CRYPTO_AES_TI,TRISTATE
VM_EVENT_COUNTERS,BOOL
DVB_STV0297,TRISTATE
DRM_ETNAVIV_THERMAL,BOOL
PANEL_LCD_PIN_E,INT
PWM_LPC32XX,TRISTATE
NET_DEVLINK,TRISTATE
TI_KEYSTONE_NETCP,TRISTATE
BRCMSMAC,TRISTATE
SND_SOC_IMX_PCM_DMA,TRISTATE
SND_SPEAR_SPDIF_OUT,TRISTATE
ALTERA_MBOX,TRISTATE
EFI_VARS_PSTORE,TRISTATE
UNWINDER_FRAME_POINTER,BOOL
CRYPTO_AES_586,TRISTATE
SLUB_DEBUG,BOOL
DVB_TTUSB_DEC,TRISTATE
IOMMU_API,BOOL
PWM_LPSS,TRISTATE
ARM_AMBA,BOOL
TI_CPTS_MOD,TRISTATE
BCMA_DRIVER_GPIO,BOOL
SND_IMX_SOC,TRISTATE
SND_SPEAR_SPDIF_IN,TRISTATE
BCM2835_MBOX,TRISTATE
EFI_VARS_PSTORE_DEFAULT_DISABLE,BOOL
STACK_VALIDATION,BOOL
CRYPTO_AES_X86_64,TRISTATE
SLUB_MEMCG_SYSFS_ON,BOOL
SMS_USB_DRV,TRISTATE
DRM_ETNAVIV_REGISTER_LOGGING,BOOL
PANEL_LCD_PIN_RS,INT
PWM_LPSS_PCI,TRISTATE
HAVE_STACK_VALIDATION,BOOL
TEGRA_AHB,BOOL
SND_SOC_FSL_SSI,TRISTATE
SND_SOC_STI,TRISTATE
STI_MBOX,TRISTATE
KEYSTONE_NAVIGATOR_DMA,TRISTATE
EFI_RUNTIME_MAP,BOOL
CRYPTO_AES_NI_INTEL,TRISTATE
CORDIC,TRISTATE
COMPAT_BRK,BOOL
MEDIA_COMMON_OPTIONS,BOOL
DRM_ARCPGU,TRISTATE
PANEL_LCD_PIN_RW,INT
PWM_LPSS_PLATFORM,TRISTATE
UEVENT_HELPER,BOOL
BRCMFMAC,TRISTATE
SND_SOC_STM32_SAI,TRISTATE
TI_MESSAGE_MANAGER,TRISTATE
KEYSTONE_NAVIGATOR_QMSS,TRISTATE
EFI_FAKE_MEMMAP,BOOL
HAVE_SYSCALL_TRACEPOINTS,BOOL
CRYPTO_AES_SPARC64,TRISTATE
SMS_SIANO_MDTV,TRISTATE
DRM_MEDIATEK,TRISTATE
SND_SOC_IMX_PCM_FIQ,TRISTATE
PANEL_LCD_PIN_SCL,INT
PWM_MESON,TRISTATE
HAVE_UNSTABLE_SCHED_CLOCK,BOOL
SLAB,BOOL
UEVENT_HELPER_PATH,STRING
BRCMFMAC_PROTO_BCDC,BOOL
TI_KEYSTONE_NETCP_ETHSS,TRISTATE
DRM_HISI_HIBMC,TRISTATE
SND_SOC_STM32_I2S,TRISTATE
HI6220_MBOX,TRISTATE
EFI_MAX_FAKE_MEM,INT
CRYPTO_AES_PPC_SPE,TRISTATE
DVB_B2C2_FLEXCOP_USB,TRISTATE
PANEL_LCD_PIN_SDA,INT
PWM_MTK_DISP,TRISTATE
HAVE_USER_RETURN_NOTIFIER,BOOL
DEVTMPFS,BOOL
TLAN,TRISTATE
BRCMFMAC_PROTO_MSGBUF,BOOL
DRM_HISI_KIRIN,TRISTATE
SND_SOC_STM32_SPDIFRX,TRISTATE
MAILBOX_TEST,TRISTATE
EFI_PARAMS_FROM_FDT,BOOL
HAVE_HARDENED_USERCOPY_ALLOCATOR,BOOL
CRYPTO_ANUBIS,TRISTATE
DVB_B2C2_FLEXCOP_USB_DEBUG,BOOL
PANEL_LCD_PIN_BL,INT
PWM_MEDIATEK,TRISTATE
TOUCHSCREEN_HP600,TRISTATE
X86_NEED_RELOCS,BOOL
INET_XFRM_MODE_TRANSPORT,TRISTATE
ATM_FIRESTREAM,TRISTATE
IBM_EMAC_RX_COPY_THRESHOLD,INT
HW_RANDOM_VIA,TRISTATE
POWER_RESET_IMX,BOOL
VIDEO_STI_HVA_DEBUGFS,BOOL
MMC_BLOCK_MINORS,INT
CRYPTO_HASH_INFO,BOOL
PCI_CNB20LE_QUIRK,BOOL
NFT_CHAIN_ROUTE_IPV4,TRISTATE
MTD_NAND_MTK,TRISTATE
AHCI_BRCM,TRISTATE
SERIAL_8250_FSL,BOOL
PINCTRL_PFC_SH7722,BOOL
THERMAL_GOV_STEP_WISE,BOOL
MEN_Z188_ADC,TRISTATE
TEST_PRINTF,TRISTATE
PHYSICAL_ALIGN,HEX
INET_XFRM_MODE_BEET,TRISTATE
HW_RANDOM_IXP4XX,TRISTATE
POWER_RESET_MSM,BOOL
VIDEO_STI_DELTA,TRISTATE
SDIO_UART,TRISTATE
PCIEPORTBUS,BOOL
NFT_REJECT_IPV4,TRISTATE
MTD_ONENAND,TRISTATE
ATM_ZATM,TRISTATE
SERIAL_8250_DW,TRISTATE
SPI_FSL_LPSPI,TRISTATE
THERMAL_DEFAULT_GOV_FAIR_SHARE,BOOL
MESON_SARADC,TRISTATE
TEST_BITMAP,TRISTATE
TOUCHSCREEN_HP7XX,TRISTATE
INET_DIAG,TRISTATE
IBM_EMAC_RX_SKB_HEADROOM,INT
HW_RANDOM_OMAP,TRISTATE
POWER_RESET_PIIX4_POWEROFF,TRISTATE
MMC_TEST,TRISTATE
HOTPLUG_PCI_PCIE,BOOL
NF_REJECT_IPV4,TRISTATE
MTD_ONENAND_VERIFY_WRITE,BOOL
AHCI_DA850,TRISTATE
SERIAL_8250_EM,TRISTATE
SPI_IMG_SPFI,TRISTATE
